schema_name,table_name,column_name,type_name,max_length,is_nullable,default,computed
dbo,#AnnotationCommands,AnnotationOrderNo,INT,,1,,0
dbo,#AnnotationCommands,AnnotationString,NVARCHAR,(MAX),1,,0
dbo,#AnnotationCommands,AnnotationCmd,NVARCHAR,(MAX),1,,0
dbo,#ExpectException,ExpectException,INT,,1,,0
dbo,#ExpectException,ExpectedMessage,NVARCHAR,(MAX),1,,0
dbo,#ExpectException,ExpectedSeverity,INT,,1,,0
dbo,#ExpectException,ExpectedState,INT,,1,,0
dbo,#ExpectException,ExpectedMessagePattern,NVARCHAR,(MAX),1,,0
dbo,#ExpectException,ExpectedErrorNumber,INT,,1,,0
dbo,#ExpectException,FailMessage,NVARCHAR,(MAX),1,,0
dbo,#NoTransaction,OrderId,INT,,1,,0
dbo,#NoTransaction,CleanUpProcedureName,NVARCHAR,(MAX),1,,0
dbo,#Output,Value,VARCHAR,(8000),1,,0
dbo,#Result,ProblemItem,VARCHAR,(1000),1,,0
dbo,#Result,s.name'),END,,1,,0
dbo,#Result,ProblemItem,VARCHAR,(1000),1,,0
dbo,#Result,s.name'),END,,1,,0
dbo,#Results,ProblemItem,VARCHAR,(1000),1,,0
dbo,#Results,O.name'),IF,,1,,0
dbo,#SkipTest,SkipTestMessage,NVARCHAR,(MAX),1,'',0
dbo,#TableBackupLog,OriginalName,NVARCHAR,(MAX),1,,0
dbo,#TableBackupLog,BackupName,NVARCHAR,(MAX),1,,0
dbo,#Temp,Output,VARCHAR,(1000),1,,0
dbo,#inputbuffer,EventType,SYSNAME,,1,,0
dbo,#inputbuffer,Parameters,SMALLINT,,1,,0
dbo,#inputbuffer,EventInfo,NVARCHAR,(MAX),1,,0
dbo,sysdiagrams,name,SYSNAME,,0,,0
dbo,sysdiagrams,principal_id,INT,,0,,0
dbo,sysdiagrams,diagram_id,INT,,1,,0
dbo,sysdiagrams,version,INT,,1,,0
dbo,sysdiagrams,definition,VARBINARY,(max),1,,0
